pincode,season,rain_disruptions_3m,aqi_disruptions_3m,heat_disruptions_3m,avg_claim_rate,platform,shift_type,imd_red_alert,worker_claim_history,flood_vulnerability,risk_label,disruption_hours
302001,post_monsoon,17,5,4,0.08982848291842299,blinkit,evening,1,0.9895648082378068,0.2,2,4.878745046142633
560001,winter,7,3,0,0.0498817788514212,blinkit,evening,0,0.1576886720731473,0.6,1,2.460905824083447
700001,monsoon,8,0,1,0.0272559449554296,blinkit,morning,0,0.5163398188383266,0.65,1,3.140056103073931
110001,post_monsoon,5,6,7,0.33326291589269186,zepto,evening,0,0.792844533837122,0.3,1,1.6053128210550753
411001,monsoon,4,9,0,0.40376812769899656,zepto,night,0,0.4326424806040359,0.5,1,3.298714767764444
400001,winter,11,5,5,0.2543419753420395,blinkit,morning,1,0.4680840601876467,0.8,2,6.031254614137591
302001,summer,10,8,2,0.02735708741681997,zepto,morning,1,0.986355795505741,0.2,1,5.111645974211918
110001,monsoon,0,6,5,0.2677352872956691,swiggy,morning,0,0.4253081503011533,0.3,1,1.3348814444878767
600001,winter,10,6,1,0.4678746307622752,swiggy,evening,1,0.6040721005990636,0.5,1,5.089986401578238
110001,post_monsoon,18,1,3,0.29880659546623023,swiggy,evening,0,0.0545396606751507,0.3,1,2.965186974426743
411001,monsoon,8,8,4,0.40471374423140744,blinkit,night,1,0.84221008021026,0.5,2,4.447953344414727
600001,monsoon,1,9,2,0.4000763241958753,blinkit,night,1,0.6481680489795435,0.5,1,3.2106386188257368
302001,post_monsoon,11,8,1,0.4660645498903264,zepto,morning,1,0.40402010286281353,0.2,1,5.088746905573083
411001,summer,3,5,0,0.38511438282493665,zepto,night,1,0.01616953995451975,0.5,1,3.720222842502941
560034,post_monsoon,3,2,4,0.3738502570065448,zepto,evening,1,0.5916688205935039,0.7,1,4.913539875696702
400001,monsoon,17,0,5,0.11705133248532029,swiggy,night,1,0.012657828484162192,0.8,2,5.1096944329630825
302001,post_monsoon,14,3,0,0.029962577660540723,swiggy,evening,0,0.0012036139090179088,0.2,1,3.7740371992720543
560034,winter,18,2,1,0.25879973252690386,swiggy,night,1,0.6160985621493547,0.7,2,6.465988554647561
700001,post_monsoon,12,0,1,0.0622171039733776,swiggy,evening,0,0.18901706733455426,0.65,1,3.9199236944826654
302001,monsoon,18,2,5,0.48109793813899565,zepto,evening,0,0.1918875497180953,0.2,2,2.9685286349084157
700001,post_monsoon,16,3,2,0.1449623813165143,blinkit,night,0,0.6532715658327437,0.65,1,4.913644959418664
600001,summer,5,7,5,0.42647210169214655,blinkit,night,0,0.05369718793937428,0.5,1,2.763042926972395
560034,post_monsoon,15,8,3,0.19381231260122966,swiggy,evening,0,0.31340556147455634,0.7,1,4.553022888977383
400001,summer,11,2,0,0.16159712492868872,blinkit,morning,0,0.14943190214201907,0.8,1,3.6461668235490325
411001,winter,18,5,2,0.46757928618831057,blinkit,night,1,0.5801763697965339,0.5,2,5.587324781708849
380001,summer,4,9,4,0.181661286043112,blinkit,evening,1,0.6617651547273958,0.3,1,4.0901197978984145
110001,post_monsoon,16,4,6,0.19514395433156823,swiggy,night,1,0.7211358535990435,0.3,2,4.8821841920692
560001,monsoon,0,5,3,0.05304588980645458,zepto,night,0,0.25523121691856543,0.6,1,1.4799531221450812
400001,summer,9,3,2,0.33522333264125465,zepto,night,0,0.089249751636584,0.8,1,4.234649757018855
560034,winter,14,9,6,0.14441970723875674,blinkit,night,0,0.07868365694189783,0.7,2,4.013635238398668
380001,summer,10,5,6,0.2928020839197536,zepto,night,1,0.4261515484507238,0.3,1,5.0645360484970485
400001,summer,12,6,0,0.29567585202660474,zepto,morning,1,0.945844409062715,0.8,2,7.293205288136627
560034,summer,4,8,1,0.3595998477978835,swiggy,morning,1,0.2177290342470246,0.7,1,4.343788162236631
500001,winter,0,9,4,0.3726207430862206,swiggy,morning,0,0.25674160134154933,0.4,0,2.6262253158070217
500001,post_monsoon,11,6,5,0.2572262172007697,blinkit,evening,0,0.10088880210585893,0.4,1,3.624549001202752
700001,summer,10,5,0,0.1654959738017015,blinkit,morning,0,0.6055702738939303,0.65,1,3.6999806617253603
400001,summer,16,0,3,0.41872544741736695,blinkit,morning,1,0.6798728739471749,0.8,2,6.0733137896850815
500001,monsoon,3,1,7,0.15493282470424236,swiggy,evening,0,0.64293120816076,0.4,1,2.077239156455054
560034,winter,14,0,6,0.25375454723466573,zepto,morning,0,0.8611302430447813,0.7,1,4.18002460119827
700001,summer,8,8,3,0.20062629160186402,swiggy,night,0,0.48642583502607173,0.65,1,2.652895421346577
560034,winter,19,9,6,0.42753919298484405,swiggy,morning,0,0.13445704076706444,0.7,2,6.886507201501761
700001,summer,18,9,1,0.2159592655729144,zepto,morning,1,0.28940513070441265,0.65,2,7.266587092992402
400001,post_monsoon,18,8,7,0.19304959441874214,zepto,morning,1,0.6624299734213518,0.8,2,7.3739946095914775
380001,post_monsoon,11,6,1,0.3449118464488187,blinkit,night,0,0.6131219737415599,0.3,1,2.790788380157578
411001,summer,4,1,4,0.30122055493072136,zepto,night,0,0.5310031297429625,0.5,0,2.1055197481667847
302001,post_monsoon,9,5,5,0.053623416747923036,zepto,night,1,0.6829644186886872,0.2,1,4.584593629425596
380001,summer,16,3,4,0.2540844031719816,zepto,night,1,0.6373908503732993,0.3,1,5.230809217273101
600001,post_monsoon,4,0,1,0.3677391941666238,zepto,evening,0,0.8813248894649517,0.5,0,2.2876873122240027
560034,monsoon,15,0,1,0.4960373822956781,blinkit,night,1,0.5860163774782966,0.7,2,5.225414690176555
600001,monsoon,6,4,3,0.31457341698515956,blinkit,night,1,0.7786013587005565,0.5,2,4.1251848618866385
380001,monsoon,8,1,1,0.18514653322065888,zepto,night,0,0.24870715596646786,0.3,1,2.225525753371674
700001,winter,2,3,7,0.1130757999010592,zepto,night,1,0.678182584589068,0.65,1,4.398283171728772
302001,winter,14,0,7,0.43641511707666014,blinkit,evening,1,0.9021941183826757,0.2,1,3.992091895060673
302001,monsoon,15,3,2,0.4072826060567514,blinkit,morning,1,0.38573232789983325,0.2,2,5.113934382737607
560001,winter,17,5,6,0.11696141038969243,zepto,morning,1,0.7791041873386466,0.6,2,5.777823395827278
302001,post_monsoon,13,9,0,0.10031604507328673,swiggy,night,0,0.7247893011954354,0.2,1,3.484768161543481
411001,summer,2,3,1,0.3575683884055878,blinkit,night,1,0.05952619687182248,0.5,1,3.5511925605507733
302001,summer,11,0,4,0.15747603095937973,blinkit,night,1,0.5815083096240723,0.2,1,2.992236769307205
380001,summer,8,6,5,0.1531993991809789,blinkit,morning,0,0.13018934920080238,0.3,1,2.676145921662052
560001,monsoon,6,1,6,0.07614512353382763,zepto,morning,1,0.9673191722305912,0.6,2,4.008697739716931
380001,winter,8,8,6,0.13198775985491495,zepto,night,0,0.8114075027006562,0.3,1,3.6068873637464636
380001,post_monsoon,12,2,5,0.2137537787963248,blinkit,morning,0,0.10972380124712011,0.3,1,2.694871982039456
110001,post_monsoon,17,7,5,0.36641916863620777,zepto,evening,1,0.12175199764767841,0.3,2,5.825435267296358
560001,monsoon,4,7,6,0.16815404720687488,zepto,night,1,0.594473854912619,0.6,2,3.984479008592329
380001,post_monsoon,12,2,2,0.16430216973992134,blinkit,night,1,0.3448891741731833,0.3,1,4.518284446706612
110001,post_monsoon,3,3,4,0.1424566262762179,zepto,evening,1,0.03490585907310928,0.3,1,2.942476845695225
110001,post_monsoon,1,1,2,0.2391418337555215,swiggy,evening,1,0.5416415078330531,0.3,0,2.261861758016012
560001,post_monsoon,15,3,1,0.09031834897065766,zepto,morning,0,0.3878450996858469,0.6,1,5.766946115968721
600001,winter,8,8,0,0.24281536701606277,zepto,evening,1,0.10107649237174265,0.5,1,4.823275485625065
700001,post_monsoon,8,1,5,0.35208777809734493,blinkit,night,0,0.8019203922559827,0.65,1,3.14402553533803
411001,summer,5,2,7,0.014895252016311089,blinkit,morning,1,0.915076765278806,0.5,1,4.400996726375069
700001,monsoon,10,3,4,0.004889690152880932,swiggy,evening,0,0.75659393401413,0.65,2,3.3657866592369974
302001,winter,0,4,5,0.03756145507725461,zepto,morning,1,0.8224223100162773,0.2,1,2.701636138705435
411001,post_monsoon,3,0,2,0.26783003086405605,swiggy,morning,1,0.21649056726611737,0.5,1,3.7051602062220903
302001,winter,12,6,3,0.4272275415927017,swiggy,morning,1,0.263572950918601,0.2,1,4.622350213230853
380001,post_monsoon,12,9,1,0.0024422330101259715,blinkit,morning,1,0.20852754029918774,0.3,1,6.248169657964679
560034,summer,12,6,0,0.4683306522923405,zepto,evening,1,0.765063431365564,0.7,2,5.597865475235666
560001,monsoon,1,8,1,0.0531392557852679,blinkit,night,0,0.9479170789344971,0.6,1,3.5188003007869892
411001,post_monsoon,8,3,3,0.42099176402911315,swiggy,night,1,0.7168372067339026,0.5,1,4.736070201212783
411001,post_monsoon,7,5,0,0.24142738249147339,swiggy,evening,1,0.881466764879556,0.5,1,5.004724806594967
380001,post_monsoon,6,1,3,0.329678693639422,blinkit,night,1,0.6386990948831726,0.3,1,3.5706171858417135
600001,post_monsoon,3,3,1,0.2553414922235912,blinkit,morning,0,0.38765990055879906,0.5,0,3.189138675872093
110001,monsoon,17,1,2,0.23852411258967732,blinkit,morning,1,0.4257616149303052,0.3,2,4.889961038363936
380001,monsoon,2,9,6,0.41744971418219573,blinkit,morning,0,0.07532143216740483,0.3,1,2.348610119221684
500001,summer,5,4,1,0.3779431897839082,blinkit,evening,1,0.03145719524602608,0.4,1,4.502736470285338
110001,monsoon,11,6,1,0.2417011182615021,swiggy,morning,0,0.6954756041890774,0.3,1,2.870578651464371
560001,post_monsoon,11,0,1,0.0558179646980308,blinkit,morning,1,0.4384288920111806,0.6,1,5.450218338648345
110001,summer,7,9,4,0.05770147965720407,zepto,evening,1,0.5522150680546295,0.3,1,4.34068087220283
600001,summer,0,9,3,0.4007697303595377,swiggy,morning,0,0.5576612476224163,0.5,1,1.7825581863328113
110001,summer,3,6,7,0.2646953106737667,swiggy,morning,1,0.2773758133333014,0.3,1,2.7242052107250565
560001,post_monsoon,10,9,3,0.2407945701096813,zepto,night,0,0.4758925108294907,0.6,1,4.154590083312306
600001,winter,2,5,5,0.34028342068035755,zepto,evening,1,0.47076022166770226,0.5,1,4.295442560802174
700001,post_monsoon,12,5,3,0.42942079170713016,swiggy,morning,1,0.388427221227857,0.65,2,4.7105152175162415
411001,monsoon,16,7,5,0.3144365722066526,blinkit,morning,0,0.8206753834010705,0.5,2,4.700225019564423
411001,monsoon,9,7,4,0.3814239511732395,swiggy,morning,1,0.4511640036875959,0.5,2,5.496188567442454
302001,post_monsoon,11,5,2,0.3826352620584785,swiggy,morning,0,0.6036445245059878,0.2,1,2.111025057339401
700001,post_monsoon,14,2,5,0.17813072439647953,zepto,night,0,0.8955201203808261,0.65,1,3.9330166871849985
700001,summer,9,4,1,0.13704159782049785,swiggy,night,1,0.8662336228589225,0.65,1,5.486183470788825
110001,post_monsoon,13,1,2,0.4005820335875793,blinkit,night,1,0.8904222037791651,0.3,1,4.874268973670993
411001,summer,12,4,6,0.18858939589212176,zepto,night,1,0.27000499646501397,0.5,1,6.002049111099517
560001,monsoon,4,8,4,0.4516680032613526,swiggy,evening,0,0.03498248830806283,0.6,1,2.9068295993499698
400001,summer,5,9,3,0.034845348365059814,swiggy,morning,0,0.2610667998953292,0.8,1,3.6422115727809112
400001,post_monsoon,1,0,5,0.029108756037669825,blinkit,night,1,0.27870734562070865,0.8,1,4.876342732340973
600001,monsoon,16,9,7,0.46350208005070415,swiggy,morning,0,0.909360326724968,0.5,2,4.422529066910124
411001,winter,3,4,1,0.32422745709071743,swiggy,evening,0,0.6492427328379706,0.5,0,2.6036427538003193
411001,summer,13,5,0,0.18979967822416616,swiggy,morning,0,0.08170395960222876,0.5,1,5.041557428216062
400001,monsoon,9,6,6,0.3775302074080914,swiggy,morning,0,0.13537859601110114,0.8,2,4.726354346803093
411001,summer,2,8,0,0.3361634049968206,blinkit,night,1,0.1556761255419754,0.5,1,4.491635108468365
110001,monsoon,2,5,2,0.2656005234097981,swiggy,night,1,0.6304217481689232,0.3,1,3.839033052382714
500001,monsoon,14,4,3,0.04943667133132568,swiggy,evening,1,0.7354140255070031,0.4,2,5.462433788942654
560034,summer,5,6,7,0.40608979364637576,swiggy,morning,0,0.8596439105653961,0.7,1,3.8440352008014798
700001,winter,16,0,0,0.43301159534031236,zepto,night,0,0.9406365508062431,0.65,1,4.178705192931351
302001,monsoon,11,4,2,0.08608434427632455,blinkit,night,0,0.20170455738644177,0.2,1,3.229981233420705
600001,monsoon,19,1,4,0.42525582598853334,zepto,night,0,0.30977248472404906,0.5,2,4.656740807939781
500001,monsoon,10,3,2,0.4389236555082821,zepto,evening,1,0.24032288074483066,0.4,2,3.7609654547037294
400001,winter,3,6,6,0.274714306144258,blinkit,morning,0,0.35876156746613774,0.8,1,3.571471956175408
700001,winter,5,4,7,0.3280895181113435,zepto,night,0,0.9146651074237494,0.65,1,2.0151759589077223
411001,post_monsoon,0,5,7,0.1911186600072457,zepto,morning,1,0.5751125669393615,0.5,1,3.856956482829431
302001,summer,19,1,2,0.140895823754633,zepto,evening,1,0.7381918973244991,0.2,1,4.9332242282118095
411001,winter,15,2,6,0.3609915734758224,blinkit,morning,1,0.490119236126782,0.5,2,6.402776333571866
560001,summer,14,6,2,0.4309375745079041,swiggy,night,0,0.02885791333612453,0.6,1,4.744815632345076
560001,post_monsoon,16,1,7,0.32703877647787377,blinkit,morning,0,0.06419548599781433,0.6,1,4.762090795511967
302001,summer,7,5,7,0.2557953053232746,blinkit,morning,0,0.5379230312678858,0.2,1,1.6253883749764908
302001,winter,11,4,1,0.07946238342208578,blinkit,evening,0,0.7187890348200257,0.2,1,2.9922873625179234
400001,summer,9,9,2,0.02672935630240908,zepto,evening,0,0.2153305275287315,0.8,1,4.329670988698619
302001,winter,14,0,5,0.22284589512337322,swiggy,morning,0,0.721909573992304,0.2,1,3.2452588373713347
110001,summer,8,9,2,0.024674781848710636,blinkit,morning,1,0.8106657734835124,0.3,1,3.940823886999759
411001,winter,1,3,7,0.28466731595361255,blinkit,morning,0,0.4118974783621112,0.5,0,2.0049036764284667
500001,winter,4,1,1,0.19136459565888564,swiggy,evening,1,0.7464192328441049,0.4,1,2.821058784041706
380001,summer,5,3,1,0.3785945598409847,swiggy,evening,1,0.4040299503284599,0.3,1,3.512904976742647
302001,post_monsoon,6,0,4,0.15282424841809172,swiggy,morning,1,0.67835062945502,0.2,1,4.01124345300029
600001,monsoon,0,1,6,0.29649135048371605,zepto,evening,0,0.763997049319543,0.5,1,1.9606340401282636
560001,post_monsoon,6,7,3,0.26884176087755024,swiggy,night,0,0.9919266183081108,0.6,1,3.3836857490453216
110001,summer,19,5,0,0.0023562127611205796,zepto,evening,1,0.3453966620635961,0.3,1,4.518920438307477
700001,post_monsoon,11,1,0,0.03619469913215517,blinkit,evening,0,0.41104078057461146,0.65,1,3.432156440928217
380001,winter,15,5,2,0.14518410624301026,zepto,evening,0,0.16562005941017133,0.3,1,3.8873268228786726
500001,monsoon,15,9,4,0.44111754051038254,swiggy,night,1,0.2040730584018069,0.4,2,5.5945711621988075
380001,summer,10,8,2,0.07350747744988928,zepto,night,0,0.6933950025983777,0.3,1,3.91357512398172
302001,summer,3,6,0,0.3554471652302708,swiggy,night,0,0.9170455901544761,0.2,0,1.685769081225302
400001,summer,12,8,6,0.48668328307614367,zepto,morning,0,0.39460495166124054,0.8,2,5.539297558055937
560001,monsoon,6,4,7,0.3952837763455776,blinkit,morning,0,0.17984444683554124,0.6,1,3.202450428988562
560001,winter,3,6,6,0.12147268084352197,zepto,night,1,0.28509949938299406,0.6,1,4.2120089284466244
700001,summer,14,6,6,0.4541826302065408,blinkit,morning,1,0.4550517048081386,0.65,2,5.914336748214804
400001,post_monsoon,18,2,1,0.04655357825419504,swiggy,morning,0,0.2906503293653684,0.8,1,4.793922980838861
411001,summer,8,6,7,0.23407097093536788,blinkit,morning,0,0.23357908312186626,0.5,1,3.848306591731026
560034,summer,10,0,3,0.44377095386320686,swiggy,night,0,0.7359844887570796,0.7,1,3.3859940339728984
110001,summer,7,8,7,0.3206328546284349,swiggy,evening,1,0.007844921240623193,0.3,1,4.511148420808296
560001,summer,0,9,4,0.20682228236384942,blinkit,night,0,0.5392305273364831,0.6,1,2.4371275083659767
600001,winter,7,5,1,0.1464064333685844,blinkit,night,0,0.7937668070297539,0.5,1,2.508485547703841
560001,post_monsoon,12,4,3,0.18754970265917498,zepto,morning,1,0.2662282863174682,0.6,1,5.777570405312785
380001,winter,3,6,4,0.2544708905046431,zepto,morning,0,0.6032915106120174,0.3,0,1.576648051859552
560001,post_monsoon,7,4,4,0.1595219649364037,blinkit,evening,1,0.6689001056186178,0.6,1,4.549756377566431
560001,summer,2,9,0,0.48448393104114984,blinkit,evening,0,0.65502469640509,0.6,1,2.3756557572857053
560034,monsoon,8,4,1,0.46653882653307255,blinkit,evening,1,0.4458496341987177,0.7,2,4.953438374210265
560034,winter,1,9,4,0.43533573410716037,blinkit,evening,0,0.3465779878757792,0.7,1,3.1620535841439468
500001,monsoon,1,6,5,0.2109149177613267,swiggy,night,0,0.8359240730278135,0.4,1,1.8062545099377352
411001,winter,12,9,6,0.34565088466761446,blinkit,evening,1,0.7584459569998643,0.5,2,6.109113308229807
600001,summer,14,6,4,0.4514146535179823,blinkit,night,1,0.3212551734139125,0.5,2,5.7727603715327565
560001,winter,11,2,3,0.425214743839464,blinkit,morning,1,0.10301919444220609,0.6,1,6.693656905556171
560001,summer,3,2,0,0.20716350701010383,blinkit,evening,1,0.07180754544546919,0.6,1,4.162125293834427
110001,winter,7,9,2,0.05619302466113035,swiggy,morning,1,0.09427597789893605,0.3,1,3.482256232416177
560034,summer,8,2,6,0.03781518191727473,zepto,morning,0,0.5828693611920428,0.7,1,3.393558792044677
600001,summer,4,5,0,0.2885320226128513,zepto,night,1,0.05166217582898969,0.5,1,4.036875926125206
700001,post_monsoon,19,5,2,0.3213139676054658,zepto,evening,1,0.3369268749640384,0.65,2,6.493184380809859
500001,summer,17,2,1,0.42492130229851205,zepto,night,1,0.7531997019142294,0.4,1,5.48630541711811
411001,post_monsoon,10,2,1,0.14625751017051553,zepto,morning,1,0.2943481665153781,0.5,1,4.378301468899812
400001,summer,14,7,4,0.08373524527502124,swiggy,evening,0,0.7633080771801298,0.8,2,5.3664098994715985
411001,monsoon,8,7,5,0.18950291658909973,zepto,morning,0,0.7454670382070553,0.5,2,2.4456561436145883
380001,summer,16,6,1,0.17678756181613753,swiggy,morning,0,0.24582713263321632,0.3,1,4.472079235895958
560001,monsoon,11,9,7,0.06623447700892737,swiggy,evening,0,0.7288221800927455,0.6,2,3.5608548119247945
500001,monsoon,6,3,4,0.33614132625657606,zepto,evening,0,0.7477766382721007,0.4,1,2.2682222239917325
380001,summer,9,3,6,0.254345970364688,zepto,evening,1,0.39745392566702686,0.3,1,3.683646605451413
600001,monsoon,9,2,0,0.36056137805738314,zepto,night,0,0.21042048374151823,0.5,1,3.2029600355237062
400001,post_monsoon,12,4,1,0.17634556008486735,blinkit,night,0,0.5212708068918691,0.8,1,4.508379444632335
560034,winter,18,2,7,0.16285110578885115,swiggy,morning,1,0.9213975880001963,0.7,2,6.62582533283982
500001,summer,10,7,0,0.23628792652192782,zepto,evening,1,0.639616732432062,0.4,1,5.455596205727139
500001,monsoon,12,6,0,0.4387036726975735,blinkit,morning,0,0.1729224976272612,0.4,1,3.984307718833481
560001,summer,7,2,5,0.02014065336699017,swiggy,morning,0,0.6827569247335199,0.6,1,3.0681536708707795
302001,post_monsoon,7,8,1,0.402416408648236,blinkit,morning,1,0.42720302728183457,0.2,1,4.179753883319331
500001,summer,3,4,0,0.18449380632887824,blinkit,morning,0,0.591528797355373,0.4,0,3.0300037594077964
110001,summer,14,8,5,0.42730951289423885,zepto,morning,1,0.7340640350231079,0.3,2,5.702119147341338
400001,monsoon,10,6,5,0.40110150441792825,swiggy,evening,1,0.5149473515144448,0.8,2,5.8532310328563915
400001,post_monsoon,10,6,1,0.1743806236980442,blinkit,night,0,0.8139839745733086,0.8,1,5.138932168695065
110001,winter,0,5,5,0.346938267660808,swiggy,evening,0,0.7221555793166278,0.3,0,1.5956551604097216
700001,winter,16,1,1,0.07981637838672007,zepto,evening,0,0.6150733400185107,0.65,1,3.968612574366468
110001,monsoon,14,8,7,0.448140776081894,swiggy,evening,1,0.1507928158323515,0.3,2,5.209638854909111
110001,summer,19,5,1,0.2022455322259547,blinkit,night,1,0.8359491109115683,0.3,2,5.013871318258514
400001,monsoon,5,7,2,0.2278128076776001,blinkit,night,0,0.935905585319816,0.8,2,2.70748994803397
411001,monsoon,14,0,0,0.35287952551849244,swiggy,night,0,0.13696512380929482,0.5,1,3.125479854392217
400001,monsoon,8,4,7,0.4104201183524255,blinkit,evening,0,0.48824112943343057,0.8,2,4.061290534340237
302001,summer,13,0,3,0.1181713716641048,blinkit,night,1,0.2588887419705045,0.2,1,4.112754437241094
560001,post_monsoon,17,9,1,0.3306750699384977,blinkit,morning,1,0.7545233074255646,0.6,2,6.044212157437468
380001,monsoon,16,7,0,0.19599902194457425,zepto,night,1,0.7216296360047,0.3,2,4.31061903637065
411001,summer,17,7,6,0.18435146200198066,zepto,evening,0,0.1408851205703987,0.5,1,5.485381237160358
560034,post_monsoon,4,0,5,0.34501291197032735,blinkit,evening,1,0.8770272712616372,0.7,1,4.247646559580116
380001,monsoon,19,8,4,0.19359163707796717,swiggy,morning,1,0.18097306397800228,0.3,2,6.827855988958125
560001,winter,19,1,1,0.17305425008220382,zepto,night,0,0.7972590256481075,0.6,1,5.499295548417852
302001,post_monsoon,8,8,5,0.4179442040631212,swiggy,night,1,0.4569803596280049,0.2,1,4.467354833786497
302001,monsoon,10,0,5,0.050638061915503185,blinkit,morning,0,0.32827229355815124,0.2,1,2.129571790845896
560034,post_monsoon,0,9,5,0.33794631141510534,blinkit,evening,1,0.1582392626742135,0.7,1,4.30117459290228
411001,post_monsoon,17,8,5,0.12436269689531232,swiggy,evening,0,0.1676142561466294,0.5,1,5.209298261625018
700001,post_monsoon,5,3,5,0.007749120913095153,zepto,night,0,0.6618905547009003,0.65,1,2.920071067082131
110001,post_monsoon,1,8,1,0.08338213443634601,swiggy,night,1,0.5504303879471205,0.3,1,3.0551903687197566
411001,post_monsoon,14,6,6,0.30333076488793387,swiggy,night,0,0.1220854216512327,0.5,1,3.151047657855568
700001,post_monsoon,13,5,3,0.3545635957429687,blinkit,night,1,0.11269786043832519,0.65,1,5.8584473457916975
302001,monsoon,4,4,2,0.010528891778160021,zepto,night,0,0.07231057477279146,0.2,1,2.1483354437480653
400001,winter,5,8,5,0.018212721650860075,swiggy,evening,0,0.7437673473735441,0.8,1,4.579658289947526
560001,summer,5,1,5,0.45127105742147655,zepto,evening,0,0.7118820852292892,0.6,1,2.676639355282435
560034,post_monsoon,17,1,2,0.03665290905685992,blinkit,evening,1,0.05843099085457515,0.7,2,5.805644824696637
560001,summer,13,8,6,0.4470910793082856,zepto,evening,0,0.560270075596973,0.6,1,5.0013719277594
600001,monsoon,9,2,7,0.11408295687545289,blinkit,morning,0,0.0846761552426899,0.5,1,3.0423172761766293
600001,post_monsoon,13,7,6,0.3700089000791064,zepto,evening,1,0.9037457706089417,0.5,2,5.467162332636696
411001,winter,12,8,7,0.15486662447300603,swiggy,morning,0,0.9071174191801324,0.5,1,3.372042540267097
302001,summer,2,7,1,0.4293760128045919,blinkit,evening,0,0.6982329898131301,0.2,0,2.6518807384728973
302001,post_monsoon,5,3,0,0.35022743271217893,swiggy,night,0,0.92618892143945,0.2,0,2.0191992245302686
110001,monsoon,7,0,4,0.20090672930084758,blinkit,night,0,0.8114530304136905,0.3,1,2.37312425428625
110001,winter,11,3,4,0.038151227087039774,zepto,night,1,0.8285385759270494,0.3,1,3.918595368195947
110001,summer,12,8,0,0.3663500919354035,zepto,morning,0,0.5697078505699332,0.3,1,3.5398748337442485
400001,summer,10,1,1,0.3084423779825908,blinkit,evening,0,0.3060591982161759,0.8,1,3.9592530670202537
380001,post_monsoon,11,2,4,0.0014558589168943703,blinkit,evening,1,0.21779911511642158,0.3,1,4.6410473055097805
500001,winter,0,9,6,0.004709927986222662,blinkit,morning,0,0.3272000220389292,0.4,1,2.779859228072403
380001,winter,16,7,2,0.40439648659634697,zepto,morning,0,0.6284954300890621,0.3,1,3.2828922013215154
560001,winter,15,5,0,0.12969986940092693,blinkit,morning,1,0.17265653583239893,0.6,1,5.512661201008447
380001,winter,10,7,6,0.31806683386403284,blinkit,morning,1,0.2586402366373216,0.3,1,4.922868925188952
400001,monsoon,12,6,3,0.22710720988262373,swiggy,morning,1,0.46806086279546444,0.8,2,6.045985320278777
560001,winter,17,4,1,0.43171500726088363,blinkit,night,1,0.23305009852461556,0.6,2,6.657437058937385
